"Country_Name";"Country_Code";"Indicator_Code";"Indicator_Name";"Debt"
"Afghanistan";"AFG";"DT.DIS.DLXF.CD";"Disbursements on external debt";833353922.9
"Afghanistan";"AFG";"DT.DIS.DPPG.CD";"Disbursements on external debt";833353922.9
"Afghanistan";"AFG";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";66.2499
"Afghanistan";"AFG";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";247.4008
"Afghanistan";"AFG";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";6.8843
"Afghanistan";"AFG";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";176.4165
"Afghanistan";"AFG";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";461.5672
"Afghanistan";"AFG";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-11907343860.6
"Afghanistan";"AFG";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Afghanistan";"AFG";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";165630000.0
"Afghanistan";"AFG";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-233929182.1
"Afghanistan";"AFG";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";85696000.0
"Afghanistan";"AFG";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";130292000.0
"Afghanistan";"AFG";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";100.87868123
"Afghanistan";"AFG";"NY.GNP.MKTP.CD";"GNI (current US$)";126008369402.0
"Afghanistan";"AFG";"DT.DIS.IDAG.CD";"IDA grants (current US$)";1674860056.1
"Afghanistan";"AFG";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";7450000.0
"Afghanistan";"AFG";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";0.379318735
"Afghanistan";"AFG";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";32407566.5
"Afghanistan";"AFG";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";470.1665
"Afghanistan";"AFG";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";152075367.8
"Afghanistan";"AFG";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Afghanistan";"AFG";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Afghanistan";"AFG";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";1652459.42774
"Afghanistan";"AFG";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";148233182.1
"Afghanistan";"AFG";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";61524592.9
"Afghanistan";"AFG";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";39.8286
"Afghanistan";"AFG";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";7758220000.0
"Afghanistan";"AFG";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";1058223004.2
"Afghanistan";"AFG";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";1959796805.1
"Afghanistan";"AFG";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";1509.3259356
"Afghanistan";"AFG";"FI.RES.TOTL.MO";"Total reserves in months of imports";60.135763784
"Albania";"ALB";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";202.0876
"Albania";"ALB";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";755.9428
"Albania";"ALB";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";65.2925
"Albania";"ALB";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";611.1598
"Albania";"ALB";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";907.2872
"Albania";"ALB";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-15595937274.1
"Albania";"ALB";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";30000000.0
"Albania";"ALB";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";2040000.0
"Albania";"ALB";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-313874493.8
"Albania";"ALB";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";326245000.0
"Albania";"ALB";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";225000000.0
"Albania";"ALB";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";1006.67197255
"Albania";"ALB";"NY.GNP.MKTP.CD";"GNI (current US$)";182366759944.2
"Albania";"ALB";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Albania";"ALB";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";0.0
"Albania";"ALB";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";15.946500009
"Albania";"ALB";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";2135549.1
"Albania";"ALB";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";751.1269
"Albania";"ALB";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";1126432.9
"Albania";"ALB";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Albania";"ALB";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Albania";"ALB";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";1501621787.886
"Albania";"ALB";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";17629493.8
"Albania";"ALB";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";135477337.6
"Albania";"ALB";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";535.0336
"Albania";"ALB";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";1826540000.0
"Albania";"ALB";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";249061125.2
"Albania";"ALB";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";7199100223.4
"Albania";"ALB";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";1218.58693577
"Albania";"ALB";"FI.RES.TOTL.MO";"Total reserves in months of imports";110.783424216
"Algeria";"DZA";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";158.255
"Algeria";"DZA";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";-169.0788
"Algeria";"DZA";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";248.0679
"Algeria";"DZA";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";524.343
"Algeria";"DZA";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";131.8606
"Algeria";"DZA";"BN.CAB.XOKA.CD";"Current account balance (current US$)";149410027106.04
"Algeria";"DZA";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Algeria";"DZA";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";87240000.0
"Algeria";"DZA";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-90864698.1
"Algeria";"DZA";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";0.0
"Algeria";"DZA";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";0.0
"Algeria";"DZA";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";1678.460060985
"Algeria";"DZA";"NY.GNP.MKTP.CD";"GNI (current US$)";3166437419236.0
"Algeria";"DZA";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Algeria";"DZA";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";0.0
"Algeria";"DZA";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";105.907578711
"Algeria";"DZA";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";1214662887.0
"Algeria";"DZA";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";264.7806
"Algeria";"DZA";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";0.0
"Algeria";"DZA";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Algeria";"DZA";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Algeria";"DZA";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";77808894818.7
"Algeria";"DZA";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";90864698.1
"Algeria";"DZA";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";14042597937.1
"Algeria";"DZA";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";386.8299
"Algeria";"DZA";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";4832910000.0
"Algeria";"DZA";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";15889170232.1
